IDH,IDC,Distancia,Tiempo
1,156,19971,14746
1,311,18435,13586
1,13,26863,19239
1,240,26846,19229
1,328,26855,19234
1,1,24222,17281
1,85,22894,16310
1,123,22894,16310
1,201,22826,16280
1,230,25138,18802
1,261,22397,15966
1,313,22886,16333
1,316,24975,17897
1,342,20654,14701
1,114,17348,12300
1,295,19364,13754
1,323,17363,12313
1,365,17110,12128
1,398,19287,13713
1,455,20668,14692
1,60,30491,21541
1,130,30532,21568
1,155,39723,31295
1,386,25591,20187
1,441,22928,18613
1,154,24490,19534
1,303,24796,19636
1,274,20686,16799
1,39,22414,18108
1,187,22665,18330
1,214,22527,18224
1,314,22579,18259
1,403,22657,18311
1,305,29220,25602
1,59,19263,15688
1,129,21118,17026
1,166,20997,16937
1,288,21050,16983
1,469,21274,17136
1,216,7761,6081
1,232,7899,6220
1,460,7801,6149
1,473,7761,6081
1,9,9002,7143
1,29,11270,8970
1,68,11270,8970
1,118,8659,6838
1,122,11270,8970
1,138,10338,8191
1,190,9793,7793
1,231,7830,6173
1,273,11299,8966
1,396,13876,11595
1,404,9267,7386
1,442,12201,9694
1,447,11283,8954
1,480,8680,6858
1,486,11270,8970
1,197,35370,27791
1,456,13084,9474
1,87,14527,10337
1,120,14122,10042
1,132,14527,10337
1,369,14527,10337
1,436,14315,10178
1,496,14527,10337
1,53,14115,10492
1,55,14406,10768
1,107,15615,11745
1,151,14937,11206
1,188,14874,11142
1,293,14936,11206
1,341,14874,11142
1,346,14443,10778
1,153,13030,9740
1,289,14560,11016
1,339,12967,9869
1,52,11792,9036
1,137,13290,9912
1,145,12040,9203
1,228,11311,8667
1,282,11401,8410
1,315,12040,9203
1,327,12350,9434
1,334,13282,10053
1,350,11364,8386
1,363,10950,8390
1,379,12215,9323
1,413,14788,10641
1,421,12638,9619
1,433,11248,8615
1,448,11189,8575
1,439,12000,8716
1,483,10886,7885
1,407,9463,7683
1,320,5699,4458
1,319,9152,7413
1,58,5385,4093
1,8,5754,4381
1,49,6036,4634
1,135,6010,4603
1,143,5991,4559
1,161,5336,4073
1,307,4524,3452
1,387,9224,7114
1,419,6010,4603
1,424,5388,4152
1,299,9228,7870
1,331,8374,6656
1,2,6172,4566
1,36,7940,5755
1,38,6265,4599
1,47,10815,7873
1,64,6754,4985
1,84,8015,5815
1,172,8869,6472
1,180,7739,5608
1,186,5922,4362
1,194,8015,5815
1,247,8015,5815
1,248,8064,5853
1,253,7727,5600
1,259,7943,5761
1,260,7867,5703
1,265,8015,5815
1,266,8015,5815
1,267,8067,5855
1,321,8059,5849
1,333,6086,4483
1,345,7741,5610
1,357,8527,6190
1,371,8869,6472
1,385,5682,4205
1,389,8666,6304
1,405,9897,7188
1,420,7741,5610
1,423,6151,4552
1,429,7235,5310
1,430,8682,6351
1,435,8812,6378
1,437,8518,6234
1,466,6172,4566
1,474,8067,5855
1,477,9463,6898
1,479,6517,4771
1,484,6858,5073
1,21,4618,3679
1,233,4003,3190
1,446,4058,3222
1,478,4058,3222
1,19,5052,4023
1,24,4817,3847
1,27,4874,3896
1,30,6260,4909
1,42,5357,4295
1,43,5849,4675
1,46,5181,4152
1,57,4539,3668
1,62,4855,3909
1,92,5181,4152
1,96,4815,3885
1,112,5181,4152
1,121,45342,37808
1,160,4767,3807
1,174,5181,4152
1,192,4810,3852
1,193,4732,3790
1,208,4898,3912
1,209,4977,4008
1,210,5002,3992
1,220,5000,4023
1,224,5455,4378
1,242,4796,3831
1,243,4793,3829
1,244,4840,3858
1,246,4856,3888
1,249,4857,3888
1,250,4989,4015
1,251,4859,3890
1,252,4856,3888
1,254,4805,3838
1,255,4863,3894
1,256,4856,3888
1,257,4776,3825
1,262,5045,4019
1,264,4859,3891
1,271,4913,3925
1,277,4640,3716
1,281,5181,4152
1,291,7415,5919
1,306,4951,3953
1,310,6574,5258
1,317,7698,6149
1,347,4855,3887
1,358,4895,3919
1,364,5181,4152
1,391,4813,3851
1,393,7397,5919
1,400,5641,4503
1,412,5181,4152
1,422,4798,3833
1,444,5258,4207
1,452,4857,3888
1,464,5032,4014
1,467,4620,3725
1,471,4987,3978
1,472,5261,4169
1,481,9922,8000
1,485,4856,3888
1,498,5014,4032
1,125,9923,8038
1,239,10544,8549
1,270,9085,7330
1,290,7398,5926
1,380,2801,2202
1,98,5982,4719
1,113,4746,3748
1,50,6014,4776
1,51,7161,5733
1,54,6876,5493
1,78,4783,3804
1,81,4768,3792
1,127,6382,5048
1,131,7111,5708
1,191,6694,5318
1,196,6876,5493
1,237,6876,5493
1,238,7324,5890
1,318,5942,4717
1,361,6732,5371
1,468,7161,5733
1,5,4078,3168
1,15,5553,4395
1,16,3999,3177
1,18,4510,3572
1,44,3594,2804
1,69,4674,3697
1,70,4078,3249
1,83,4078,3249
1,94,5228,4140
1,99,4351,3432
1,110,4530,3588
1,124,3169,2517
1,136,4046,3220
1,139,6338,5069
1,149,4632,3649
1,159,4614,3646
1,163,4387,3477
1,165,3928,3132
1,169,4605,3649
1,176,4078,3249
1,177,4468,3536
1,185,4035,3200
1,203,4342,3429
1,207,4338,3423
1,215,4652,3670
1,223,5175,4104
1,278,4087,3173
1,286,3286,2624
1,292,3230,2518
1,308,4882,3847
1,322,4078,3249
1,329,4087,3265
1,337,4131,3208
1,356,4489,3538
1,359,4078,3249
1,370,3427,2696
1,374,4456,3525
1,382,3813,3017
1,408,4573,3618
1,410,4214,3327
1,411,4210,3324
1,445,3385,2704
1,449,4078,3249
1,450,3184,2465
1,458,4128,3266
1,461,4320,3414
1,462,4177,3320
1,475,4078,3249
1,490,4813,3793
1,491,5146,4032
1,492,5085,4038
1,497,3964,3161
1,181,20583,15555
1,272,20637,15612
1,141,10663,8549
1,344,14635,11827
1,438,12330,9926
1,183,6595,5231
1,494,7089,5612
1,495,7104,5624
1,7,5774,4144
1,12,4968,3602
1,22,4399,3198
1,26,5215,3887
1,31,3999,2902
1,34,4382,3219
1,45,5338,3867
1,93,5118,3714
1,115,5208,3782
1,168,5279,3838
1,206,6663,4763
1,219,5276,3836
1,221,4418,3205
1,241,5068,3681
1,275,5218,3790
1,283,4560,3278
1,309,5157,3748
1,326,4968,3602
1,373,4968,3602
1,409,5528,3977
1,414,6071,4343
1,431,4237,3076
1,443,5936,4255
1,453,5049,3671
1,463,4631,3367
1,74,2946,2372
1,383,2942,2386
1,417,2479,1951
1,499,2941,2385
1,23,1010,793
1,79,893,699
1,162,1590,1235
1,175,1790,1331
1,204,1806,1342
1,338,1273,978
1,390,1010,793
1,170,2475,1819
1,213,2405,1766
1,76,2052,1567
1,108,1033,826
1,128,852,686
1,148,5814,4170
1,164,2137,1619
1,234,2036,1525
1,235,2040,1558
1,245,990,768
1,258,994,771
1,287,1939,1483
1,294,1440,1119
1,302,1440,1119
1,381,1477,1121
1,415,1440,1119
1,428,1637,1260
1,487,1684,1277
1,488,1440,1119
1,500,1538,1172
1,6,3972,2882
1,10,3916,2847
1,28,2214,1640
1,37,2796,2061
1,63,3384,2479
1,71,3964,2877
1,72,2377,1751
1,73,3970,2893
1,75,3983,2933
1,77,4207,3083
1,86,3972,2899
1,97,3972,2899
1,105,3435,2519
1,111,4114,3023
1,119,3164,2320
1,158,4255,3126
1,182,2331,1721
1,184,2337,1749
1,218,4392,3227
1,222,4119,3027
1,226,3703,2694
1,263,4336,3120
1,276,4031,2928
1,284,3903,2882
1,296,2424,1833
1,297,3452,2518
1,298,6389,4503
1,300,3832,2834
1,330,3972,2899
1,335,3046,2244
1,340,3792,2814
1,348,2581,1908
1,353,2313,1705
1,354,3436,2563
1,366,2378,1753
1,372,4197,3090
1,376,3894,2813
1,399,4524,3298
1,406,3471,2588
1,418,3736,2716
1,427,3462,2609
1,451,4016,2927
1,476,2970,2191
1,489,4504,3233
1,11,8798,6367
1,25,7047,5001
1,80,6264,4483
1,100,6077,4292
1,116,7162,5018
1,140,6017,4254
1,142,6309,4439
1,171,6371,4485
1,195,5793,4156
