COD+AF8-PROV,COD+AF8-CANT,COD+AF8-DIST,CODIGO,NOM+AF8-PROV,NOM+AF8-CANT,NOM+AF8-DIST
2,1,1,2011,ALAJUELA,ALAJUELA,ALAJUELA
2,1,3,2013,ALAJUELA,ALAJUELA,CARRIZAL
2,1,10,20110,ALAJUELA,ALAJUELA,DESAMPARADOS
2,1,13,20113,ALAJUELA,ALAJUELA,GARITA
2,1,5,2015,ALAJUELA,ALAJUELA,GUACIMA
2,1,9,2019,ALAJUELA,ALAJUELA,RIO SEGUNDO
2,1,7,2017,ALAJUELA,ALAJUELA,SABANILLA
2,1,4,2014,ALAJUELA,ALAJUELA,SAN ANTONIO
2,1,6,2016,ALAJUELA,ALAJUELA,SAN ISIDRO
2,1,2,2012,ALAJUELA,ALAJUELA,SAN JOSE
2,1,8,2018,ALAJUELA,ALAJUELA,SAN RAFAEL
2,1,12,20112,ALAJUELA,ALAJUELA,TAMBOR
2,1,11,20111,ALAJUELA,ALAJUELA,TURRUCARES
2,5,1,2051,ALAJUELA,ATENAS,ATENAS
2,5,5,2055,ALAJUELA,ATENAS,CONCEPCION
2,5,8,2058,ALAJUELA,ATENAS,ESCOBAL
2,5,2,2052,ALAJUELA,ATENAS,JESUS
2,5,3,2053,ALAJUELA,ATENAS,MERCEDES
2,5,4,2054,ALAJUELA,ATENAS,SAN ISIDRO
2,5,6,2056,ALAJUELA,ATENAS,SAN JOSE
2,5,7,2057,ALAJUELA,ATENAS,SANTA EULALIA
2,3,7,2037,ALAJUELA,GRECIA,PUENTE DE PIEDRA
2,3,2,2032,ALAJUELA,GRECIA,SAN ISIDRO
2,3,3,2033,ALAJUELA,GRECIA,SAN JOSE
2,3,5,2035,ALAJUELA,GRECIA,TACARES
2,9,3,2093,ALAJUELA,OROTINA,HACIENDA VIEJA
2,8,4,2084,ALAJUELA,POAS,CARRILLOS
2,8,5,2085,ALAJUELA,POAS,SABANA REDONDA
2,8,2,2082,ALAJUELA,POAS,SAN JUAN
2,8,1,2081,ALAJUELA,POAS,SAN PEDRO
2,8,3,2083,ALAJUELA,POAS,SAN RAFAEL
2,4,2,2042,ALAJUELA,SAN MATEO,DESMONTE
3,6,3,3063,CARTAGO,ALVARADO,CAPELLADES
3,6,2,3062,CARTAGO,ALVARADO,CERVANTES
3,6,1,3061,CARTAGO,ALVARADO,PACAYAS
3,1,5,3015,CARTAGO,CARTAGO,AGUACALIENTE O SAN FRANCISCO
3,1,3,3013,CARTAGO,CARTAGO,CARMEN
3,1,7,3017,CARTAGO,CARTAGO,CORRALILLO
3,1,9,3019,CARTAGO,CARTAGO,DULCE NOMBRE
3,1,6,3016,CARTAGO,CARTAGO,GUADALUPE O ARENILLA
3,1,10,30110,CARTAGO,CARTAGO,LLANO GRANDE
3,1,2,3012,CARTAGO,CARTAGO,OCCIDENTAL
3,1,1,3011,CARTAGO,CARTAGO,ORIENTAL
3,1,11,30111,CARTAGO,CARTAGO,QUEBRADILLAS
3,1,4,3014,CARTAGO,CARTAGO,SAN NICOLAS
3,1,8,3018,CARTAGO,CARTAGO,TIERRA BLANCA
3,8,1,3081,CARTAGO,EL GUARCO,EL TEJAR
3,8,4,3084,CARTAGO,EL GUARCO,PATIO DE AGUA
3,8,2,3082,CARTAGO,EL GUARCO,SAN ISIDRO
3,8,3,3083,CARTAGO,EL GUARCO,TOBOSI
3,4,1,3041,CARTAGO,JIMENEZ,JUAN VI+//0Aw//9AJE-AS
3,4,3,3043,CARTAGO,JIMENEZ,PEJIBAYE
3,4,2,3042,CARTAGO,JIMENEZ,TUCURRIQUE
3,3,5,3035,CARTAGO,LA UNION,CONCEPCION
3,3,6,3036,CARTAGO,LA UNION,DULCE NOMBRE
3,3,8,3038,CARTAGO,LA UNION,RIO AZUL
3,3,2,3032,CARTAGO,LA UNION,SAN DIEGO
3,3,3,3033,CARTAGO,LA UNION,SAN JUAN
3,3,4,3034,CARTAGO,LA UNION,SAN RAFAEL
3,3,7,3037,CARTAGO,LA UNION,SAN RAMON
3,3,1,3031,CARTAGO,LA UNION,TRES RIOS
3,7,4,3074,CARTAGO,OREAMUNO,CIPRESES
3,7,2,3072,CARTAGO,OREAMUNO,COT
3,7,3,3073,CARTAGO,OREAMUNO,POTRERO CERRADO
